classifier_name,dataset_name,accuracy
number_1,kyoto7_0,0.464088394826288
number_1,kyoto7_1,0.383333333333333
number_1,kyoto7_2,0.466666662693023
number_1,kyoto8_0,0.700143470654699
number_1,kyoto8_1,0.751793401484168
number_1,kyoto8_2,0.670977010809142
number_1,kyoto11_0,0.509654768927359
number_1,kyoto11_1,0.505558806947269
number_1,kyoto11_2,0.422131147540983
number_1,cairo_0,0.635204081632653
number_1,cairo_1,0.631713554987212
number_1,cairo_2,0.634271099744246
number_1,milan_0,0.587101556708673
number_1,milan_1,0.615727002967359
number_1,milan_2,0.572700296735905
number_10,milan_0,0.829503335804299
number_10,milan_1,0.814540059347181
number_10,milan_2,0.817507418397626
number_10,kyoto7_0,0.823204427792881
number_10,kyoto7_1,0.755555550257364
number_10,kyoto7_2,0.738888890213436
number_10,kyoto8_0,0.86800573947953
number_10,kyoto8_1,0.859397419299422
number_10,kyoto8_2,0.866379310344827
number_10,kyoto11_0,0.781743710469334
number_10,kyoto11_1,0.802223522876563
number_10,kyoto11_2,0.775761124261369
number_10,cairo_0,0.808673469387755
number_10,cairo_1,0.83120204649313
number_10,cairo_2,0.813299232889014
number_11,milan_0,0.831727205348333
number_11,milan_1,0.813056379821958
number_11,milan_2,0.826409495548961
number_11,kyoto7_0,0.828729285390337
number_11,kyoto7_1,0.75
number_11,kyoto7_2,0.755555560853746
number_11,kyoto8_0,0.849354376495312
number_11,kyoto8_1,0.849354375212572
number_11,kyoto8_2,0.866379310344827
number_11,kyoto11_0,0.794031597948548
number_11,kyoto11_1,0.800468110319743
number_11,kyoto11_2,0.768149883183159
number_11,cairo_0,0.798469387755102
number_11,cairo_1,0.805626598770356
number_11,cairo_2,0.831202046035806
number_12,milan_0,0.838398813958341
number_12,milan_1,0.81973293768546
number_12,milan_2,0.823442136498516
number_12,kyoto7_0,0.790055247630862
number_12,kyoto7_1,0.711111107137468
number_12,kyoto7_2,0.794444448418087
number_12,kyoto8_0,0.87517934182453
number_12,kyoto8_1,0.866571016770011
number_12,kyoto8_2,0.863505749181769
number_12,kyoto11_0,0.801053248001442
number_12,kyoto11_1,0.80514921034338
number_12,kyoto11_2,0.780444965010783
number_12,cairo_0,0.821428571428571
number_12,cairo_1,0.815856777798489
