classifier_name,dataset_name,accuracy
number_1,kyoto7_0,0.464088394826288
number_1,kyoto7_1,0.383333333333333
number_1,kyoto7_2,0.466666662693023
number_1,kyoto8_0,0.700143470654699
number_1,kyoto8_1,0.751793401484168
number_1,kyoto8_2,0.670977010809142
number_1,kyoto11_0,0.509654768927359
number_1,kyoto11_1,0.505558806947269
number_1,kyoto11_2,0.422131147540983
number_1,cairo_0,0.635204081632653
number_1,cairo_1,0.631713554987212
number_1,cairo_2,0.634271099744246
number_1,milan_0,0.587101556708673
number_1,milan_1,0.615727002967359
number_1,milan_2,0.572700296735905
number_10,kyoto7_0,0.723756912992804
number_10,kyoto7_1,0.783333338631524
number_10,kyoto7_2,0.588888887564341
number_10,kyoto8_0,0.85939741870081
number_10,kyoto8_1,0.860832138930365
number_10,kyoto8_2,0.836206894496391
number_10,kyoto11_0,0.714452896605045
number_10,kyoto11_1,0.77998829728473
number_10,kyoto11_2,0.773419203607483
number_10,cairo_0,0.747448979591837
number_10,cairo_1,0.780051151047582
number_10,cairo_2,0.728900255754476
number_10,milan_0,0.832468495181616
number_10,milan_1,0.824183976261128
number_10,milan_2,0.824925816023739
number_11,cairo_0,0.770408163265306
number_11,cairo_1,0.751918158720216
number_11,cairo_2,0.739130434782608
number_11,kyoto7_0,0.674033146866118
number_11,kyoto7_1,0.705555547608269
number_11,kyoto7_2,0.733333330684238
number_11,kyoto8_0,0.855093257413533
number_11,kyoto8_1,0.850789097323479
number_11,kyoto8_2,0.8089080452919
number_11,kyoto11_0,0.757753072250928
number_11,kyoto11_1,0.79929783513073
number_11,kyoto11_2,0.651639344960241
number_11,milan_0,0.873980726508232
number_11,milan_1,0.88353115727003
number_11,milan_2,0.733679525222552
number_2,kyoto7_0,0.701657465808299
number_2,kyoto7_1,0.661111117733849
number_2,kyoto7_2,0.427777777777777
number_2,kyoto8_0,0.892395982783357
number_2,kyoto8_1,0.802008610117213
number_2,kyoto8_2,0.791666668721999
number_2,kyoto11_0,0.633118783367384
number_2,kyoto11_1,0.66881217110429
number_2,kyoto11_2,0.614168617708621
number_2,cairo_0,0.762755102040816
number_2,cairo_1,0.764705882352941
number_2,cairo_2,0.634271099744246
number_2,milan_0,0.834692364758788
number_2,milan_1,0.756676557863502
