classifier_name,dataset_name,accuracy
NB,cairo_0,0.8279
NB,milan_0,0.7665
NB,kyoto7_0,0.6398
NB,kyoto8_0,0.775
NB,kyoto11_0,0.6327
NB,cairo_1,0.8279
NB,milan_1,0.7665
NB,kyoto7_1,0.6398
NB,kyoto8_1,0.775
NB,kyoto11_1,0.6327
NB,cairo_2,0.8279
NB,milan_2,0.7665
NB,kyoto7_2,0.6398
NB,kyoto8_2,0.775
NB,kyoto11_2,0.6327
HMM,cairo_0,0.8241
HMM,milan_0,0.7744
HMM,kyoto7_0,0.6579
HMM,kyoto8_0,0.8167
HMM,kyoto11_0,0.609
HMM,cairo_1,0.8241
HMM,milan_1,0.7744
HMM,kyoto7_1,0.6579
HMM,kyoto8_1,0.8167
HMM,kyoto11_1,0.609
HMM,cairo_2,0.8241
HMM,milan_2,0.7744
HMM,kyoto7_2,0.6579
HMM,kyoto8_2,0.8167
HMM,kyoto11_2,0.609
CRF,cairo_0,0.6807
CRF,milan_0,0.6101
CRF,kyoto7_0,0.662
CRF,kyoto8_0,0.8733
CRF,kyoto11_0,0.5841
CRF,cairo_1,0.6807
CRF,milan_1,0.6101
CRF,kyoto7_1,0.662
CRF,kyoto8_1,0.8733
CRF,kyoto11_1,0.5841
CRF,cairo_2,0.6807
CRF,milan_2,0.6101
CRF,kyoto7_2,0.662
CRF,kyoto8_2,0.8733
CRF,kyoto11_2,0.5841
LSTM,cairo_0,0.8375
LSTM,milan_0,0.9342
LSTM,kyoto7_0,0.6976
LSTM,kyoto8_0,0.8871
LSTM,kyoto11_0,0.8557
LSTM,cairo_1,0.8375
LSTM,milan_1,0.9342
LSTM,kyoto7_1,0.6976
LSTM,kyoto8_1,0.8871
LSTM,kyoto11_1,0.8557
LSTM,cairo_2,0.8375
LSTM,milan_2,0.9342
LSTM,kyoto7_2,0.6976
LSTM,kyoto8_2,0.8871
LSTM,kyoto11_2,0.8557
B_LSTM,cairo_0,0.854592
B_LSTM,milan_0,0.944403
B_LSTM,kyoto7_0,0.850829
B_LSTM,kyoto8_0,0.94835
B_LSTM,kyoto11_0,0.865418
B_LSTM,cairo_1,0.867008
B_LSTM,milan_1,0.939169
B_LSTM,kyoto7_1,0.816667
B_LSTM,kyoto8_1,0.946915
B_LSTM,kyoto11_1,0.888239
B_LSTM,cairo_2,0.882353
B_LSTM,milan_2,0.93546
B_LSTM,kyoto7_2,0.822222
B_LSTM,kyoto8_2,0.941092
B_LSTM,kyoto11_2,0.864169
C_LSTM,cairo_0,0.885204
C_LSTM,milan_0,0.943662
C_LSTM,kyoto7_0,0.861878
C_LSTM,kyoto8_0,0.942611
C_LSTM,kyoto11_0,0.887654
C_LSTM,cairo_1,0.867008
C_LSTM,milan_1,0.936944
C_LSTM,kyoto7_1,0.822222
C_LSTM,kyoto8_1,0.949785
C_LSTM,kyoto11_1,0.871855
C_LSTM,cairo_2,0.856777
C_LSTM,milan_2,0.934718
C_LSTM,kyoto7_2,0.833333
C_LSTM,kyoto8_2,0.945402
C_LSTM,kyoto11_2,0.874122
HAR_LSTM,cairo_0,0.892857
HAR_LSTM,milan_0,0.942921
HAR_LSTM,kyoto7_0,0.850829
HAR_LSTM,kyoto8_0,0.965567
HAR_LSTM,kyoto11_0,0.883558
HAR_LSTM,cairo_1,0.920716
HAR_LSTM,milan_1,0.944362
HAR_LSTM,kyoto7_1,0.861111
HAR_LSTM,kyoto8_1,0.964132
HAR_LSTM,kyoto11_1,0.898186
HAR_LSTM,cairo_2,0.920716
HAR_LSTM,milan_2,0.944362
HAR_LSTM,kyoto7_2,0.861111
HAR_LSTM,kyoto8_2,0.964132
HAR_LSTM,kyoto11_2,0.898186
WCNN,cairo_0,0.895408
WCNN,milan_0,0.939956
WCNN,kyoto7_0,0.850829
WCNN,kyoto8_0,0.95122
WCNN,kyoto11_0,0.893505
WCNN,cairo_1,0.918159
WCNN,milan_1,0.951039
WCNN,kyoto7_1,0.833333
WCNN,kyoto8_1,0.954089
WCNN,kyoto11_1,0.898186
WCNN,cairo_2,0.892583
WCNN,milan_2,0.941395
WCNN,kyoto7_2,0.822222
WCNN,kyoto8_2,0.965517
WCNN,kyoto11_2,0.87178
C_WCNN,cairo_0,0.892857143
C_WCNN,milan_0,0.945885841
C_WCNN,kyoto7_0,0.889502766
C_WCNN,kyoto8_0,0.967001435
C_WCNN,kyoto11_0,0.875950849
C_WCNN,cairo_1,0.923274
C_WCNN,milan_1,0.947329
C_WCNN,kyoto7_1,0.85
C_WCNN,kyoto8_1,0.958393
C_WCNN,kyoto11_1,0.887654
C_WCNN,cairo_2,0.897698
C_WCNN,milan_2,0.937685
C_WCNN,kyoto7_2,0.783333
C_WCNN,kyoto8_2,0.95546
C_WCNN,kyoto11_2,0.888173
HARWCNN,cairo_0,0.918367
HARWCNN,milan_0,0.951075
HARWCNN,kyoto7_0,0.933702
HARWCNN,kyoto8_0,0.974175
HARWCNN,kyoto11_0,0.876536
HARWCNN,cairo_1,0.936061
HARWCNN,milan_1,0.958457
HARWCNN,kyoto7_1,0.861111
HARWCNN,kyoto8_1,0.967001
HARWCNN,kyoto11_1,0.882972
HARWCNN,cairo_2,0.905371
HARWCNN,milan_2,0.951039
HARWCNN,kyoto7_2,0.805556
HARWCNN,kyoto8_2,0.971264
HARWCNN,kyoto11_2,0.887588
TTN,cairo_0,0.630102
TTN,milan_0,0.495182
TTN,kyoto7_0,0.541436
TTN,kyoto8_0,0.592539
TTN,kyoto11_0,0.503218
TTN,cairo_1,0.685422
TTN,milan_1,0.491098
TTN,kyoto7_1,0.466667
TTN,kyoto8_1,0.576758
TTN,kyoto11_1,0.495026
TTN,cairo_2,0.690537
TTN,milan_2,0.484421
TTN,kyoto7_2,0.438889
TTN,kyoto8_2,0.594828
TTN,kyoto11_2,0.489461
inception_time,cairo_0,0.798469
inception_time,milan_0,0.789474
inception_time,kyoto7_0,0.867403
inception_time,kyoto8_0,0.839311
inception_time,kyoto11_0,0.805149
inception_time,cairo_1,0.815857
inception_time,milan_1,0.812315
inception_time,kyoto7_1,0.794444
inception_time,kyoto8_1,0.84505
inception_time,kyoto11_1,0.794032
inception_time,cairo_2,0.831202
inception_time,milan_2,0.784125
inception_time,kyoto7_2,0.788889
inception_time,kyoto8_2,0.83908
inception_time,kyoto11_2,0.793911
lstmfcn_8,cairo_0,0.747449
lstmfcn_8,milan_0,0.762787
lstmfcn_8,kyoto7_0,0.78453
lstmfcn_8,kyoto8_0,0.850789
lstmfcn_8,kyoto11_0,0.749561
lstmfcn_8,cairo_1,0.7663075
lstmfcn_8,milan_1,0.758619
lstmfcn_8,kyoto7_1,0.756154
lstmfcn_8,kyoto8_1,0.8298485
lstmfcn_8,kyoto11_1,0.75505
lstmfcn_8,cairo_2,0.785166
lstmfcn_8,milan_2,0.754451
lstmfcn_8,kyoto7_2,0.727778
lstmfcn_8,kyoto8_2,0.808908
lstmfcn_8,kyoto11_2,0.760539
alstmfcn_8,cairo_0,0.737245
alstmfcn_8,milan_0,0.769459
alstmfcn_8,kyoto7_0,0.790055
alstmfcn_8,kyoto8_0,0.82066
alstmfcn_8,kyoto11_0,0.741954
alstmfcn_8,cairo_1,0.737245
alstmfcn_8,milan_1,0.769459
alstmfcn_8,kyoto7_1,0.790055
alstmfcn_8,kyoto8_1,0.82066
alstmfcn_8,kyoto11_1,0.741954
alstmfcn_8,cairo_2,0.737245
alstmfcn_8,milan_2,0.769459
alstmfcn_8,kyoto7_2,0.790055
