classifier_name,dataset_name,accuracy
NB,dataset1,0.8279
NB,dataset2,0.7665
NB,dataset3,0.6398
NB,dataset4,0.7750
NB,dataset5,0.6327
HMM,dataset1,0.8241
HMM,dataset2,0.7744
HMM,dataset3,0.6579
HMM,dataset4,0.8167
HMM,dataset5,0.6090
CRF,dataset1,0.6807
CRF,dataset2,0.6101
CRF,dataset3,0.6620
CRF,dataset4,0.8733
CRF,dataset5,0.5841
LSTM,dataset1,0.8375
LSTM,dataset2,0.9342
LSTM,dataset3,0.6976
LSTM,dataset4,0.8871
LSTM,dataset5,0.8557
WCNN,dataset1,0.9020
WCNN,dataset2,0.9441
WCNN,dataset3,0.8355
WCNN,dataset4,0.9569
WCNN,dataset5,0.8878
HARWCNN,dataset1,0.9199
HARWCNN,dataset2,0.9535
HARWCNN,dataset3,0.8668
HARWCNN,dataset4,0.9708
HARWCNN,dataset5,0.9027
KKK,dataset1,0.999
KKK,dataset2,0.999
KKK,dataset3,0.999
KKK,dataset4,0.999
KKK,dataset5,0.999
KKK1,dataset1,0.1
KKK1,dataset2,0.1
KKK1,dataset3,0.1
KKK1,dataset4,0.1
KKK1,dataset5,0.1
