classifier_name,dataset_name,accuracy
HMM,dataset1,0.8279
HMM,dataset2,0.7665
HMM,dataset3,0.6398
HMM,dataset4,0.775
HMM,dataset5,0.6327
HMM,dataset6,0.8279
HMM,dataset7,0.7665
HMM,dataset8,0.6398
HMM,dataset9,0.775
HMM,dataset10,0.6327
CRF,dataset1,0.8241
CRF,dataset2,0.7744
CRF,dataset3,0.6579
CRF,dataset4,0.8167
CRF,dataset5,0.609
CRF,dataset6,0.8241
CRF,dataset7,0.7744
CRF,dataset8,0.6579
CRF,dataset9,0.8167
CRF,dataset10,0.609
LSTM,dataset1,0.6807
LSTM,dataset2,0.6101
LSTM,dataset3,0.662
LSTM,dataset4,0.8733
LSTM,dataset5,0.5841
LSTM,dataset6,0.6807
LSTM,dataset7,0.6101
LSTM,dataset8,0.662
LSTM,dataset9,0.8733
LSTM,dataset10,0.5841
WCNN,dataset1,0.902
WCNN,dataset2,0.9441
WCNN,dataset3,0.8355
WCNN,dataset4,0.9569
WCNN,dataset5,0.8878
WCNN,dataset6,0.902
WCNN,dataset7,0.9441
WCNN,dataset8,0.8355
WCNN,dataset9,0.9569
WCNN,dataset10,0.8878
HARWCNN,dataset1,0.9199
HARWCNN,dataset2,0.9535
HARWCNN,dataset3,0.8668
HARWCNN,dataset4,0.9708
HARWCNN,dataset5,0.9027
HARWCNN,dataset6,0.9199
HARWCNN,dataset7,0.9535
HARWCNN,dataset8,0.8668
HARWCNN,dataset9,0.9708
HARWCNN,dataset10,0.9027
